genre + tag,recommendation_phrase
액션 + 순서가 변함,시간 순서를 뒤섞은 미스터리한 액션
액션 + 공룡,태고의 공룡들과 맞서는 모험
액션 + 부모 역할,자녀를 지키기 위한 부모의 처절한 액션
액션 + 늑대인간,달빛 아래 펼쳐지는 수수께끼 액션
액션 + 왕실 업무,궁중의 암투와 음모 속 펼쳐지는 액션
액션 + 연금술,마법과 과학이 만나는 신비한 액션
액션 + 아이돌,화려한 무대 뒤 숨겨진 아이돌의 비밀 임무
액션 + 요괴,일본 전통 요괴들과 펼치는 신비한 액션
액션 + 고대 중국,장대한 중국 역사 속 무협 액션
액션 + 두라한,쿨한 겉모습 속 불타는 액션
액션 + 고전 문학,문학 작품 속으로 들어가 펼치는 모험
액션 + 유령,보이지 않는 적과의 긴장감 넘치는 대결
액션 + 운동,스포츠 정신으로 무장한 체육 액션
액션 + 사진,카메라에 담긴 예기치 못한 액션의 순간들
액션 + 설경,눈 덮인 설원에서 펼쳐지는 극한의 액션
액션 + 언어 장벽,말이 통하지 않는 상황 속 긴박한 액션
액션 + 왕국 경영,나라를 세우고 지키는 장대한 전략 액션
액션 + 기숙 학교,폐쇄된 공간에서 펼쳐지는 미스터리 액션
액션 + 소프트웨어 개발,코딩으로 세상을 구하는 프로그래머 액션
액션 + 회춘,젊음을 되찾아 펼치는 제2의 인생 액션
액션 + 경제,주식과 펀드로 펼치는 금융 액션 스릴러
액션 + 엘프,숲의 정령들이 펼치는 환상적인 액션
액션 + 글쓰기,펜이 칼보다 강하다! 작가의 액션 모험
액션 + 오타쿠 문화,덕후들의 지식이 빛나는 유니크 액션
액션 + 해안가,파도와 함께 출렁이는 해변의 액션
액션 + 오이란,화려한 옷 아래 감춰진 무사의 액션
액션 + 무성,대사 없이 펼쳐지는 강렬한 무성 액션
액션 + 범죄 조직,법과 질서에 맞서는 지하 세계의 전쟁
액션 + 서핑,파도를 가르며 펼쳐지는 서핑 액션 어드벤처
액션 + 서바이벌 게임 (에어소프트),가상 전투의 세계에서 펼쳐지는 실전 같은 액션
액션 + 풍자,사회를 꼬집는 날카로운 풍자와 유쾌한 액션
액션 + 피트니스,단련된 육체로 펼치는 강력한 액션
액션 + 식인,식인종의 위협 속에서 펼쳐지는 극한의 생존 액션
액션 + 모페드,소형 오토바이로 펼치는 경쾌한 도시 액션
액션 + 레슬링,링 위의 땀과 열정이 넘치는 프로레슬링 액션
액션 + 슈퍼히어로,초인적인 능력을 가진 영웅들의 화려한 액션
액션 + 아동,어린이의 눈으로 바라본 세상을 구하는 액션
액션 + 광고,광고 업계를 배경으로 한 예상 밖의 액션
액션 + 농구,코트를 뜨겁게 달구는 열정적인 농구 액션
액션 + 카드 배틀,카드 한 장으로 운명이 바뀌는 턴제 액션
액션 + 고블린,장난꾸러기 고블린들의 예측불가 액션
액션 + 중2병,중2병 환자들의 상상이 현실이 되는 초현실 액션
액션 + 네크로멘서,죽은 자를 조종하는 마법사의 다크 액션
액션 + 고전 음악,클래식 선율과 함께 펼쳐지는 우아한 액션
액션 + 펜싱,검과 검이 부딪히는 섬세한 검술 액션
액션 + 증강 현실,현실과 가상이 뒤섞인 신개념 액션
액션 + 데스게임,목숨을 건 극한의 서바이벌 게임 액션
액션 + 천문학,별과 우주의 신비를 탐험하는 SF 액션
액션 + 야외,탐험과 전투가 만나는 세상
액션 + 전차,전투 속 전치의 전쟁
액션 + 동물 주연,동물들의 용감한 전투 이야기
액션 + 악녀,"악녀들의 전투, 누가 이길까?"
액션 + 오피스 레이디,사무실의 전투는 시작됐다
액션 + 식당,"식사 시간, 전투가 시작된다"
액션 + 전염병,전염병과의 숨 막히는 사투
액션 + 귀여운 남자아이들,귀여운 남자아이들이 보여주는 용기
액션 + 파쿠르,도시를 가로지르는 짜릿한 스릴
액션 + 서큐버스,서큐버스와의 기상천외한 전투
액션 + 타임 루프,시간을 초월한 전투의 서사
액션 + 정략 결혼,결혼을 둘러싼 전투의 심리전
액션 + 폴리아모리,"사랑의 다각형, 그들의 전투"
액션 + 로토스코핑,"현실과 애니메이션, 경계를 허물다"
액션 + 사무실,일상 속 숨겨진 전투의 향연
액션 + 치어리딩,"치어리더들의 전투, 응원의 힘"
액션 + 스케이트보드,스케이트보드와 액션의 조화
액션 + 버튜버 (VTuber),버튜버들이 펼치는 가상 전투
액션 + 전체 3D,3D 전투의 신세계를 만나다
액션 + 스쿠버 다이빙,바다 속 숨겨진 전투의 비밀
액션 + 가짜 연애,"가짜 연애, 진짜 전투"
액션 + 모계사회,여성 주도 사회의 혁명적 전투
액션 + 수상 스포츠,액션과 수상 스포츠의 짜릿한 조화
액션 + 소방관,"불꽃 속의 용기, 소방관의 전투"
액션 + 노인 주인공,노인 주인공이 이끄는 액션의 세계
액션 + 럭비,럭비의 격렬함이 담긴 액션
액션 + 스모,스모의 힘과 액션의 만남
액션 + 인형극,인형극으로 펼쳐지는 액션의 서사
액션 + 바이킹,"바이킹의 전투, 액션의 정수"
모험 + 우주,우주를 향한 모험의 시작
모험 + 범죄,범죄의 미로를 헤쳐 나가는 모험
모험 + 에피소드,에피소드가 쌓여가는 모험의 여정
모험 + 앙상블 캐스트,"앙상블 캐스트의 모험, 그들의 이야기"
모험 + 주로 성인 캐스트,성인 캐스트가 이끄는 모험의 서사
모험 + 비극,비극이 흐르는 모험의 길
모험 + 여행,여행을 통한 모험의 진화
모험 + 누아르,누아르의 향기가 배어 있는 모험
모험 + 총,총성과 함께하는 모험의 스릴
모험 + 남성 주인공,남성 주인공이 이끄는 용기 있는 모험
모험 + 사이버펑크,사이버펑크의 미래를 탐험하는 모험
모험 + 철학,철학적 질문을 던지는 모험의 여정
모험 + 비혈연 가족,비혈연 가족의 따뜻한 모험 이야기
모험 + 테러,테러와의 숨 막히는 대결
모험 + 톰보이,톰보이가 만들어가는 모험의 세계
모험 + 무술,무술의 정수를 담은 모험
모험 + 사이보그,사이보그와 함께하는 액션의 미래
모험 + 기억 상실,기억 상실이 가져오는 모험의 미스터리
모험 + 카우보이,카우보이의 자유로운 모험
모험 + 안티히어로,안티히어로의 복수극
모험 + 도박,도박의 세계에서 펼쳐지는 모험
모험 + 야쿠자,"야쿠자의 길, 모험의 선택"
모험 + 이성애자,이성애자가 이끄는 사랑의 모험
모험 + 약물,약물이 얽힌 모험의 미스터리
모험 + 경찰,경찰과 함께하는 스릴 넘치는 모험
모험 + 여성 주인공,여성 주인공이 이끄는 강렬한 모험
모험 + 사교도,사교도의 음모가 감도는 모험
모험 + 갈색 피부,갈색 피부의 주인공과 함께하는 모험
모험 + 누드,누드를 통한 자유로운 모험의 탐색
모험 + 서커스,서커스의 화려함이 담긴 모험
모험 + 도망자,도망자들의 숨막히는 추격전
모험 + 사막,사막을 넘는 모험의 여정
모험 + 스팀펑크,스팀펑크의 매력을 담은 모험
모험 + 포스트 아포칼립스,포스트 아포칼립스의 생존 모험
모험 + 소년,소년의 용기 있는 모험 이야기
모험 + 쌍둥이,쌍둥이가 만들어가는 특별한 모험
모험 + 외계인,외계인과의 기상천외한 모험
모험 + 몸개그,몸개그로 가득한 유쾌한 모험
모험 + 종교,종교적 갈등 속의 모험의 서사
모험 + 신체 변형,신체 변형이 일으키는 모험의 변화
모험 + 마법,마법이 가득한 환상적인 모험
모험 + 도시 판타지,도시 판타지의 매력이 담긴 모험
모험 + 음모,음모에 휘말린 모험의 진실
모험 + 마녀,마녀와 함께하는 신비로운 모험
모험 + 쿨데레,쿨데레와의 아슬아슬한 모험
모험 + 바,바에서 펼쳐지는 미스터리한 모험
모험 + 창술,창술로 펼쳐지는 전투의 모험
모험 + 검술,검술로 이어지는 용기의 모험
모험 + 학교,학교에서의 특별한 모험 이야기
모험 + 주로 남성 캐스트,주로 남성 캐스트가 이끄는 모험의 서사
모험 + 학교 클럽,학교 클럽에서의 우정과 모험
모험 + 성장,성장의 과정을 담은 모험
모험 + 괴롭힘,괴롭힘을 이겨내는 모험의 이야기
모험 + 여성,여성과 함께하는 특별한 모험
모험 + 삼각관계,삼각관계가 얽힌 복잡한 모험
모험 + 짝사랑,짝사랑의 아슬아슬한 모험
모험 + 그림,그림 속으로 떠나는 환상적인 모험
모험 + 귀여운 아이,귀여운 아이와의 감동적인 모험
모험 + 자동차,자동차와 함께하는 스릴 넘치는 모험
모험 + 시골,시골의 정취를 느끼는 모험
모험 + 청년,청년의 꿈을 찾아가는 모험
모험 + 3D,3D로 펼쳐지는 환상적인 모험
모험 + 탐정,탐정과 함께하는 미스터리한 모험
모험 + 복수,복수를 향한 치열한 모험의 서사
모험 + 기억 조작,기억 조작으로 얽힌 모험의 진실
모험 + 입양,입양된 아이의 특별한 모험 이야기
모험 + 외국,외국에서 펼쳐지는 이색적인 모험
모험 + 의학,의학을 배경으로 한 스릴 넘치는 모험
모험 + 정치,정치적 음모 속의 모험의 서사
모험 + 다중인격,다중인격의 미스터리가 담긴 모험
모험 + 역사,역사를 탐험하는 흥미로운 모험
모험 + 고아,고아들의 우정과 모험 이야기
모험 + 시간 도약,시간 도약을 통한 스릴 넘치는 모험
모험 + 자살,"자살을 넘어서, 생명의 모험"
모험 + 도시,도시 속에서 펼쳐지는 긴장감 넘치는 모험
모험 + 고문,고문이 얽힌 끔찍한 모험의 서사
모험 + 여장남장,여장남장의 화려한 모험
모험 + 고어물,고어물이 가득한 잔혹한 모험
모험 + 닌자,닌자와 함께하는 스릴 넘치는 모험
모험 + 초능력,초능력이 펼쳐지는 특별한 모험
"모험 + 수련,수행",수련과 수행으로 이끌리는 모험
모험 + 시대착오,시대착오의 미스터리가 담긴 모험
모험 + 어린이 주인공,어린이 주인공의 용기 있는 모험
모험 + 형태 변환,형태 변환으로 이어지는 환상적인 모험
모험 + 괴수,괴수와의 대결을 담은 모험
모험 + 악마,악마와의 위험한 거래가 있는 모험
모험 + 서먹한 가족,서먹한 가족의 유대가 깊어지는 모험
모험 + 젠더 벤딩,젠더 벤딩이 이루어지는 독특한 모험
모험 + 여장남자,여장남자와의 아슬아슬한 모험
모험 + 암살자,암살자의 스릴 넘치는 복수극
모험 + 해적,해적과 함께하는 바다의 모험
모험 + 배,배를 타고 떠나는 환상의 모험
모험 + 무로맨틱,무로맨틱한 관계가 이끄는 모험의 서사
모험 + 노예제도,"노예제도를 넘어서, 자유를 향한 모험"
모험 + 전쟁,전쟁의 소용돌이 속에서 찾은 모험
모험 + 디스토피아,디스토피아의 암울한 진실을 향한 모험
모험 + 신,신의 힘이 함께하는 특별한 모험
모험 + 감옥,감옥에서의 생존을 위한 치열한 모험
모험 + 잃어버린 문명,잃어버린 문명의 비밀을 파헤치는 모험
모험 + 음식,음식으로 엮인 우정의 모험
모험 + 사무라이,사무라이의 검과 함께하는 모험
모험 + 몬스터 소년,몬스터 소년의 용감한 모험
모험 + 의인화,의인화된 친구와의 환상적인 모험
모험 + 변신,변신의 능력이 이끄는 모험
모험 + 인공지능,인공지능과의 동행으로 시작되는 모험
모험 + 로봇,로봇과의 특별한 유대가 담긴 모험
모험 + 동물,동물과 함께 떠나는 흥미로운 모험
모험 + 해골,해골의 비밀을 탐구하는 모험
모험 + 용,용과의 대결이 있는 신비한 모험
모험 + 결혼,결혼을 향한 여정을 담은 모험
모험 + 첩보,첩보 작전 속의 숨막히는 모험
모험 + 몬스터 소녀,몬스터 소녀와의 특별한 우정의 모험
모험 + 요정,요정과 함께하는 마법 같은 모험
모험 + 기차,기차를 타고 떠나는 환상적인 모험
모험 + 클론,클론이 이끄는 새로운 모험의 시작
모험 + 배틀 로얄,배틀 로얄에서의 생존을 위한 치열한 모험
모험 + 인어,인어의 세계로의 신비로운 모험
모험 + 시간 조작,시간 조작이 가능한 특별한 모험
모험 + 천사,천사의 날개를 단 모험의 서사
모험 + 뮤지컬,뮤지컬로 표현되는 아름다운 모험
모험 + LGBTQ+ 테마,LGBTQ+ 테마가 담긴 사랑의 모험
모험 + 몸 바꾸기,몸 바꾸기를 통한 신선한 모험
모험 + 좀비,좀비와의 생존을 위한 치열한 모험
모험 + 연기,연기의 세계로 떠나는 특별한 모험
모험 + 트랜스젠더,트랜스젠더의 자아를 찾는 모험
모험 + 테니스,테니스를 통해 엮인 친구들의 모험
모험 + 패러디,패러디의 재미가 가득한 모험
모험 + 츤데레,츤데레와 함께하는 애틋한 모험
모험 + 주로 청소년 캐스트,청소년들이 펼치는 역동적인 모험
모험 + 집사,집사와의 특별한 유대가 있는 모험
모험 + 서바이벌,서바이벌 상황에서의 생존을 위한 모험
모험 + 군대,군대의 우정과 충성을 담은 모험
모험 + 갱단,갱단의 세계에서 벌어지는 스릴 넘치는 모험
모험 + 시점 (POV),시점(POV)으로 바라보는 독특한 모험
모험 + 마피아,마피아의 음모가 가득한 모험
모험 + 전파계,전파계에서의 미스터리한 모험
모험 + 장애,장애를 극복하는 강한 캐릭터들의 모험
모험 + 환생,환생한 주인공의 새로운 시작을 담은 모험
모험 + 뱀파이어,뱀파이어와의 위험한 거래가 있는 모험
모험 + 수녀,수녀의 신념이 담긴 감동적인 모험
모험 + 메타적,메타적 요소가 가득한 기발한 모험
모험 + 초현실 코미디,초현실 코미디가 펼쳐지는 유쾌한 모험
모험 + 이세계,이세계로의 모험이 가져온 변화
모험 + 교육,교육과 함께하는 특별한 모험
모험 + 정신 성욕,정신 성욕이 얽힌 미스터리한 모험
모험 + 슈퍼 로봇,슈퍼 로봇과의 짜릿한 모험
모험 + 신화,신화 속 전설을 따라가는 모험
모험 + 양성애,양성애의 사랑을 탐구하는 모험
모험 + 특촬,특촬의 세계에서 펼쳐지는 모험
모험 + BL,BL의 달콤한 모험
모험 + 방대한 공포,방대한 공포에 맞서는 용감한 모험
모험 + 활쏘기,활쏘기로 짜릿한 경험을 담은 모험
모험 + 재활,재활과 회복의 과정을 그린 모험
모험 + 가상 세계,가상 세계에서 펼쳐지는 흥미로운 모험
모험 + 비디오 게임,비디오 게임 속 세계로의 모험
모험 + 던전,던전 탐험의 스릴 넘치는 모험
모험 + 주로 여성 캐스트,주로 여성 캐스트가 이끄는 모험
모험 + 여성 하렘,여성 하렘의 사랑과 갈등이 있는 모험
모험 + 리얼 로봇,리얼 로봇의 전투가 담긴 모험
모험 + 대리전,대리전의 긴장감이 넘치는 모험
모험 + 키메라,키메라의 신비로운 모험
모험 + 밴드,밴드와 함께하는 음악적 모험
모험 + 록 음악,록 음악으로 가득한 짜릿한 모험
모험 + 야구,야구와 함께하는 꿈의 모험
모험 + 나이 차이,나이 차이를 넘은 사랑의 모험
모험 + 소녀,소녀들의 성장과 우정을 담은 모험
모험 + 고양이 귀,고양이 귀 소녀의 귀여운 모험
모험 + 히키코모리,히키코모리의 세계를 탐험하는 모험
모험 + 가족 생활,가족 생활의 따뜻한 순간을 담은 모험
