anime_title,description,anilist_id,tag_names
ONE PIECE,"Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King.<br><br>nEnter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.<br><br>n<b>*This includes following special episodes:</b><br>n- Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336)<br>n- The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492)<br>n- Team Formation! Save Chopper (Episode 542)<br>n- History's Strongest Collaboration vs. Glutton of the Sea (Episode 590)<br>n- 20th Anniversary! Special Romance Dawn (Episode 907)",21,"Achromatic, Acting, Adoption, Anachronism, Angels, Animals, Anthropomorphism, Anti-Hero, Aromantic, Artificial Intelligence, Asexual, Assassins, Battle Royale, Body Swapping, CGI, Clone, Coming of Age, Conspiracy, Crime, Cyborg, Desert, Dragons, Drugs, Dystopian, Ensemble Cast, Espionage, Fairy, Female Protagonist, Food, Found Family, Fugitive, Gender Bending, Gods, Guns, Henshin, Kuudere, LGBTQ+ Themes, Lost Civilization, Male Protagonist, Marriage, Medicine, Mermaid, Monster Boy, Monster Girl, Musical Theater, Ninja, Philosophy, Pirates, Politics, Post-Apocalyptic, Primarily Adult Cast, Prison, Revenge, Robots, Samurai, Shapeshifting, Ships, Shounen, Skeleton, Slapstick, Slavery, Super Power, Swordplay, Time Manipulation, Time Skip, Tragedy, Trains, Transgender, Travel, Unrequited Love, War, Zombie"
テニスの王子様,"Echizen Ryoma is a young tennis prodigy who has won 4 consecutive tennis championships but who constantly lies in the shadow of his father, a former pro tennis player. He joins the Seishun Gakuen junior highschool, one of the best tennis schools in Japan, and there along with his teamates he learns to find his own type of tennis in an attempt to defeat his biggest obstacle of all: his father as well as himself.n<br><br>n(Source: Anime News Network)",22,"Anti-Hero, Bullying, Foreign, Male Protagonist, Primarily Child Cast, Primarily Male Cast, School, School Club, Shounen, Super Power, Tennis"
リングにかけろ１,"In order to fulfill their dead father's wish, the siblings, Kiku Takane and Ryuuji Takane aim for the champion title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuuji, will concentrate on the role of the boxer and learn the Boomerang Hook technique. His battle with many rivals has led to the growth and maturity of Ryuuji. The junior high boxing tournament has began and Ryuuji will be fighting his arch-rival, Jun Kenzaki. The battle begins.n<br><br>n(Source: Anime News Network)",23,"Boxing, Cultivation, Delinquents, Male Protagonist, Martial Arts, Primarily Male Cast, Shounen, Super Power"
スクールランブル,"Tsukamoto Tenma is an ordinary 2nd year high school student who has fallen in love with one of her classmates, Karasuma Ooji. However, currently she is unable to confess her feelings to him. To make things worse, she found out that Karasuma is transferring to another school in a year. On the other hand, Tenma's other classmate, Harima Kenji (who is a delinquent) is also in love with Tenma. Not being able to confess his feelings, Harima gets depressed day by day.<br><br>n(Source: Anime News Network)",24,"Butler, Delinquents, Ensemble Cast, Episodic, Heterosexual, Kuudere, Love Triangle, Parody, Primarily Teen Cast, School, Shounen, Super Power, Tsundere"
砂ぼうず,"The Great Kanto Desert is a miserable place. It’s also the home of hero-for-hire Desert Punk, the closest thing to a good guy the wasteland’s got. He’s known as the best man for any job, but his reputation is undone by his raging hormones when curvy Junko uses her double-D charms to double-cross him. With debt hanging over his head, Desert Punk sets out to salvage his name. <br><br>n(Source: Crunchyroll)",25,"Anti-Hero, Artificial Intelligence, Desert, Episodic, Gangs, Guns, Lost Civilization, Military, Post-Apocalyptic, POV, Shounen, Slapstick, Slavery, Survival, Terrorism, War"
TEXHNOLYZE,"In a man-made underground society, descendants of a banished generation vie for control of the crumbling city of Lux. Ichise, an orphan turned prize fighter, loses a leg and an arm to satisfy an enraged fight promoter. On the brink of death he is taken in by a young woman doctor and used as a guinea pig for the next evolution of Texhnolyze. With his new limbs, Ichise is taken under the wing of Oonishi, a powerful leader of Organ, an organization with some hold on Lux. As Ichise is drawn deeper into a war for territorial control of the city, he learns of his possible future from the young girl prophet Ran, who guides him from the shadows in his darkest times. With the explosion of the warfare, Ichise must uncover the truth about Lux and fight for his survival as he realizes his destiny.n<br><br>n(Source: Anime News Network)",26,"Afterlife, Amputation, Boxing, Conspiracy, Crime, Cult, Cyberpunk, Cyborg, Denpa, Disability, Drugs, Dystopian, Female Protagonist, Gangs, Gore, Guns, Heterosexual, Lost Civilization, Mafia, Male Protagonist, Noir, Philosophy, Post-Apocalyptic, Primarily Adult Cast, Primarily Male Cast, Rape, Suicide, Survival, Terrorism, Tragedy, Urban, War"
トリニティ・ブラッド,"The background is in the distant future after the destruction brought about by Armageddon. The war between the vampires and the humans continue to persist. In order to protect the humans from the vampires, the Vatican has to rely on other allies to counter the situation. The protagonist,  Abel Nightroad, is a traveling priest from the Vatican and a crusnik, a vampire that drinks the blood of vampires. He is a member of the ""Ax"", a special operations group led by Cardinal Catherina Sforza. He encounters a young girl called Esther, who decides to go with him to Rome and train at the Vatican. Soon after he meets her, the order of Rozencreuz, led by Abel's twin, Cain, tries to continue the war so they can rule the world. It's up to Abel and the AX to try and stop them.",27,"Anachronism, Artificial Intelligence, Foreign, Gore, Guns, Male Protagonist, Nun, Religion, Robots, Vampire"
焼きたて!! ジャぱん,"Kazuma Azuma wants to make bread. Not just any kind of bread, though. He wants to make a bread that represents Japan itself and can stand toe-to-toe with rice as a national food. Thanks to his legendary ""Hands of the Sun,"" unnaturally warm hands that allow dough to ferment faster, Kazuma's bread is like a slice of Heaven.<br>n<br>nAnd when the Pantasia Rookie Competition arrives, everyone will get a taste of his skill! Along with his friend Kawachi (who's only in it for the dough), he’ll go up against koala karate masters, Harvard bread scientists, samurai with rolling-pin swords, and more! Can Kazuma create bread like naan other and bake his way to glory, or should he quit before he's toast?<br>n<br>n(Source: Right Stuf)",28,"Educational, Ensemble Cast, Food, Isekai, Magic, Male Protagonist, Meta, Parody, Shounen, Surreal Comedy, Time Manipulation"
ジパング,"Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942&mdash;The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain annonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined.n<br><br>n(Source: Anime News Network)",29,"Anachronism, Historical, Military, Primarily Adult Cast, Primarily Male Cast, Seinen, Ships, Time Manipulation, Tragedy, Travel, War"
新世紀エヴァンゲリオン,"In the year 2015, the Angels, huge, tremendously powerful, alien war machines, appear in Tokyo for the second time. The only hope for Mankind's survival lies in the Evangelion, a humanoid fighting machine developed by NERV, a special United Nations agency. Capable of withstanding anything the Angels can dish out, the Evangelion's one drawback lies in the limited number of people able to pilot them. Only a handful of teenagers, all born fourteen years ago, nine months after the Angels first appeared, are able to interface with the Evangelion. One such teenager is Shinji Ikari, whose father heads the NERV team that developed and maintains the Evangelion. Thrust into a maelstrom of battle and events that he does not understand, Shinji is forced to plumb the depths of his own inner resources for the courage and strength to not only fight, but to survive, or risk losing everything. <br><br>n(Source: AniDB)<br>n<br>n <i>Note: Later releases include edited versions of Episodes 21-24 called the ""Director's Cut"" with some visual editing and adding extra scenes that appeared in the theatrical recap 'Death'.</i>",30,"Aliens, Angels, Bisexual, Body Horror, Boys' Love, Clone, Coming of Age, Conspiracy, Denpa, Dystopian, Episodic, Espionage, Gore, Kaiju, Kuudere, LGBTQ+ Themes, Male Protagonist, Military, Mythology, Nudity, Philosophy, Politics, Post-Apocalyptic, Primarily Teen Cast, Psychosexual, Religion, Suicide, Super Robot, Tokusatsu, Tragedy, Trains, Tsundere"
剣風伝奇ベルセルク,"Set during a time that very much resembles Europe during the Middle Ages, <i>Berserk</i> is a story of revenge set in the castle town of Midland. Recently, the town has seen the rise of a wicked king, who uses demonic minions to control and victimise his subjects.<br>n<br>nHowever, when a lone soldier enters the town calling himself the Black Swordsman and armed to the teeth, many sense that the king's days of unchecked oppression are over. Soon, the Black Swordsman is plying his trade by hunting down the king's evil servants, giving no quarter, and preparing to exact his vengeance on the king.<br>n<br>n(Source: MVM Entertainment)",33,"Anti-Hero, Archery, Coming of Age, Cosmic Horror, Demons, Found Family, Fugitive, Gore, Heterosexual, Love Triangle, Male Protagonist, Military, Nudity, Philosophy, Politics, Primarily Adult Cast, Primarily Male Cast, Rape, Revenge, Seinen, Skeleton, Swordplay, Tanned Skin, Tomboy, Tragedy, Travel, War"
るろうに剣心 -明治剣客浪漫譚-,"Himura Kenshin is a vagabond with a dark past and sunny disposition. Not a ronin but a rurouni, he was never a samurai, but an assassin of utmost skill in the Meiji restoration, who in the turning point of the war simply walked away. His travels lead him to Tokyo in the 11th year of the Meiji era, where he befriends a female Kendo master, a former thief, a brawler and a doctor all with their own secrets. Together they fight off the enemies surfacing from the dark past that Kenshin cannot escape. <br><br>n(Source: Anime News Network)",45,"Conspiracy, Cultivation, Heterosexual, Historical, Male Protagonist, Martial Arts, Politics, Rehabilitation, Samurai, Shounen, Swordplay, Travel, Tsundere"
.hack//SIGN,"A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, he is suspected to be a hacker of the Crimson Knights, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way.<br><br>nAs Tsukasa explores The World, he stumbles upon a magical item that takes the form of a 'guardian', which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.<br><br>n[Written by MAL Rewrite]",48,"Amnesia, Anti-Hero, CGI, Denpa, Dissociative Identities, Dungeon, Ensemble Cast, Female Protagonist, Gender Bending, Isekai, LGBTQ+ Themes, Magic, Super Power, Tanned Skin, Tragedy, Video Games, Virtual World"
ああっ女神さまっ (TV),"Keiichi Morisato is looking forward to university life. But in reality, he has no luck in anything, and he has trouble with clubs, love, etc. The truth is that he has an unlucky star above his head. One day, Keiichi is stuck watching the dorm while his sempai are away, and has a mountain of chores to do to boot. But Keiichi is a good-natured person, and is set about doing his duties. As he is about to finish his final chore, he makes a phone call to his sempai. But the words that came through the receiver are, 'Goddess Help Line.' Shortly afterwards, a beautiful goddess named Belldandy appears in front of him from the mirror of his room. ",50,"College, Demons, Female Harem, Gods, Heterosexual, Kuudere, Magic, Male Protagonist, Primarily Adult Cast, Primarily Female Cast, Seinen, Urban Fantasy"
機動天使エンジェリックレイヤー,"From the moment twelve-year-old Misaki Suzuhara first arrives in Tokyo to live with her aunt, she finds herself swept away by the amazing world of Angelic Layer – a fast-paced high-tech game where dolls called “Angels” are controlled by the thoughts of their operator, or “Deus”. Discovering that her new friends are as interested in Angelic Layer as she is, Misaki builds her own Angel, Hikaru, and begins competing in battles where will and determination count far more than size and strength. The competitions are going to be fierce and, with the national championships looming on the horizon, you can bet that not everyone Misaki meets will be on her side. Can Misaki handle the pressure of non-stop competition while struggling to adapt to life in an unfamiliar city?<br>n<br>n(Source: Sentai Filmworks)",52,"Disability, Female Protagonist, Primarily Child Cast, Primarily Female Cast, Proxy Battle, Real Robot, Robots, Shounen"
藍より青し,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.",53,"College, Female Harem, Heterosexual, Love Triangle, Male Protagonist, Nudity, Primarily Adult Cast, School, Seinen, Time Skip"
アークザラッド,"The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies.n<br><br>n(Source: Anime News Network)",55,"Anachronism, Body Horror, Chimera, Conspiracy, Gore, Magic, Male Protagonist, Military, Nudity, Revenge"
アヴェンジャー,"Mars has been colonized and is a world where children have been replaced by robot servents known as 'dolls'. Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed. <br>",56,"Female Protagonist, Kuudere, Post-Apocalyptic, Revenge, Robots"
BECK,"Tanaka Yukio, better known by his nickname Koyuki is a 14 year old who feels disconnected from life in general. Through the act of saving a mismatched dog, he meets guitarist Minami Ryuusuke, and becomes involved in Ryuusuke's new band BECK. Koyuki's life starts to change as the band struggles towards fame. <br>",57,"Band, Baseball, Bullying, Coming of Age, Ensemble Cast, Female Protagonist, Gyaru, Hip-hop Music, Love Triangle, Male Protagonist, Primarily Male Cast, Rock Music, School, Shounen, Swimming, Urban"
BLUE GENDER,Imagine waking after spending more than two decades in suspended animation. You awaken to a world more terrifying than your worst nightmare. A world where human beings are hunted down by giant insect-like creatures called the Blue. Welcome to Earth in the year 2031...a time when the planet is no longer ours. Earth's very survival now rests in your hands.<br>n<br>n(Source: Funimation),58,"Dystopian, Gore, Heterosexual, Kuudere, Male Protagonist, Military, Nudity, Post-Apocalyptic, Primarily Adult Cast, Real Robot, Space, Survival, Tomboy, Travel"
ちょびっツ,"In the future, personal computers have developed into ""Persocoms"", mobile computers that look like human beings. Hideki Motosuwa, a prep school student, desperately wants to buy a Persocom but cannot afford to. One day he finds a Persocom that has been thrown away and decides to keep it. When he turns on the Persocom, all she can say is ""Chii"" so he decides to name her that. After a while it starts to become apparent that Chii is more than an average Persocom. Having much better performance, it seems that Chii might be a ""Chobit"", a type of advanced Persocom rumored to have independent thought.<br><br>n(Source: Anime News Network)",59,"Age Gap, Amnesia, Artificial Intelligence, Asexual, Conspiracy, Dissociative Identities, Female Protagonist, Henshin, Heterosexual, Male Protagonist, Memory Manipulation, Nudity, Philosophy, Robots, Seinen, Slapstick, Twins"
クロノクルセイド,"The year is 1928 A.D. The place is New York, U.S.A. The economic prosperity brought forth after the Great War also heightened the presence of something far darker and much more sinister: the demonic Sinners. The Magdalene Order is an organization that tries to counter this force. Two of its exorcists are Rosette Christopher and her assistant, Chrono. Both appear out of place in an organization like this, and they are in a quest to find Rosette's missing brother, Joshua. Their relationships, secrets and fates can only be revealed in time...n<br><br>n(Source: Anime News Network)",60,"Angels, Cult, Demons, Female Protagonist, Foreign, Historical, Nun, Religion, Shounen, Tragedy, Urban Fantasy"
Ｄ・Ｎ・ＡＮＧＥＬ,"Niwa Daisuke is your average teenager, until his fourteenth birthday. He tries to declare his love to the girl of his dreams, but fails. Suddenly, whenever he thinks about this girl he turns into the legendary phantom thief known as Dark Mousy. Daisuke's mother, very much aware of this, makes him turn into Dark and steal valuable works of art for a purpose unknown to Daisuke. As the story unfolds, he learns why, and about his classmate who seems to have the same ability.n<br><br>n(Source: Anime News Network)",61,"Crime, Dissociative Identities, Foreign, Henshin, Heterosexual, Love Triangle, Magic, Male Protagonist, School, Shoujo, Twins"
D.C.～ダ・カーポ～,"Every year the flowers bloom. Mysterious Cherry Blossoms blooming all over a crescent shaped island. That island is the island of Hatsune...<br><br>nThe main character who goes to Kazami Academy, Asakura Junnichi, has the power to see the dreams of other people in his sleep. He was also taught magic by an old lady that allows him to create sweets.<br><br>nOne day, Junnichi seems to have seen someone's dream again while he was sleeping. Inside that dream, a girl who was a childhood friend of his appeared. But, he was woken up by his sister Asakura Nemu, forcing him to come back to his regular life. Nemu doesn't actually have any blood relation to Junnichi but their bond is deeper than other real brothers and sisters. So deep that it gives the illusion that they're lovers.<br><br>nIt was another peaceful normal day waking up early in the morning and going to Kazami Academy. Together with childhood friend Amakase Miharu, the academy idol Shirakawa Kotori, the two sisters Mizukoshi Moe and Mako who prefer eating nabe on the school roof for lunch. Going through their day as usual, their childhood friend, Yoshino Sakura, who they thought had moved to America suddenly appears. It was a surprise for Junnichi and Nemu. Sakura tells them, ""I came to finish the promise we made during our childhood""...<br><br>n(Source: AnimeNfo and AniDB) ",62,"Amnesia, Coming of Age, Female Harem, Heterosexual, Love Triangle, Magic, Male Protagonist, Nekomimi, Primarily Female Cast, School, Tsundere"
ディアーズ,"Ikuhara Takeya is a high school student living a normal life. He is not interested in the commotion around a UFO filled with beautiful alien females that crashed on earth a year ago. The aliens, known as DearS, are deciding to take permanent residence on earth. What no one knows is that these aliens are a slave species whose sole purpose is to serve and please their masters. One day, Takeya spots a person shivering behind some bushes. This person, Ren, is one of the DearS, and after being saved by Takeya she chooses him as her master. Takeya, who doesn't know about the master-slave relationship of DearS, tries to teach Ren the normal lifestyle of the people on earth, though he constantly fears that Ren is an evil alien who's trying to brainwash him. Ren, however, isn't like other DearS. She is in fact malfunctioning and is being tracked down by their leader. Meanwhile, Takeya begins to learn more about DearS, and a mythical DearS relationship called &ldquo;Gift&rdquo; begins to develop between them.n<br><br>n(Source: Anime News Network)",63,"Aliens, Female Harem, Kuudere, Male Protagonist, Primarily Teen Cast, Shounen, Slavery"
ローゼンメイデン,"Sakurada Jun spends his days online, ordering whatever he takes a liking to, only to return it before the payment is due. Due to psychological trauma from school, Jun generally keeps contact with people as little as possible. One day he finds instructions online that tell him to put his order into his desk drawer. Rubbing it off as a joke, Jun mindlessly does so only to find that his order instantly disappears from his drawer. A package suddenly appears, containing a beautiful antique doll. When wound up, this doll comes to life. Sadly for Jun, this doll Shinku views Jun as an equivalent for a servant. Despite the constant demands Jun now receives from Shinku, she slowly helps him overcome his fears of human contact as well as protect him from the deadly battles that come into his life due to her appearance.",64,"Anthropomorphism, Battle Royale, Bullying, Family Life, Found Family, Hikikomori, Kuudere, Magic, Male Protagonist, Ojou-sama, Primarily Female Cast, Rehabilitation, Seinen, Super Power, Tsundere, Urban, Urban Fantasy"
ローゼンメイデン ~ トロイメント,"As summer break arrives for the students, Jun Sakurada is busily studying on his own in the library, making up for time lost while he had confined himself to his home. Meanwhile, his Rozen Maiden doll, Shinku, has been having troubling dreams of late. The pain and sadness of defeating Suigintou was overwhelming, despite the inevitable battle they waged. After waking suddenly from a nightmare, she finds Suigintou's companion spirit wandering; upon giving chase, she discovers that the seventh Doll-- Barasuishou-- has awakened. She now realizes that Suigintou's fate may very well befall the other Dolls, for the appearance of the last Doll signals the beginning of the end of the Alice Games.n<br><br>n(Source: Anime News Network)",65,"Anthropomorphism, Battle Royale, Family Life, Found Family, Hikikomori, Kuudere, Magic, Male Protagonist, Ojou-sama, Primarily Female Cast, Rehabilitation, School, Seinen, Super Power, Tragedy, Tsundere, Urban, Urban Fantasy"
あずまんが大王 THE ANIMATION,"Ten year old child prodigy, Chiyo Mihama, is finding it tough fitting in at high school with the girls five years her elder: Osaka (dimwitted with a weird take on the world), Tomo (a powder keg that goes off at a moment’s notice), Kagura (the competitive athlete of the bunch), Yomi (the hothead), and Sakaki (timid and obsessed with a love of animals that isn’t reciprocated). Together with their teacher, they navigate the rough waters and fun times of high school.<br>n<br>n(Source: Sentai Filmworks)",66,"Coming of Age, Cute Girls Doing Cute Things, Ensemble Cast, Episodic, Female Protagonist, Iyashikei, Kuudere, Primarily Female Cast, Primarily Teen Cast, School, Shounen, Slapstick, Surreal Comedy, Teacher, Tomboy"
バジリスク 甲賀忍法帖,"The heirs to the Kouga and Iga ninja clans, Gennosuke and Oboro, hoped the unsteady truce between their tribes would last—but fate denies the lovers, thrusting their people into war after centuries of peace. The terms are set on two scrolls. One bears a list of Kouga warriors. The other holds a list of those who fight for Iga. The names found on these scrolls can only be crossed out in blood. <br><br>nn(Source: Crunchyroll)",67,"Gore, Heterosexual, Historical, Martial Arts, Ninja, Primarily Adult Cast, Rape, Seinen, Swordplay, Tragedy"
